"CustomerID","Recency","Frequency","Monetary","Cluster","PredictedCluster","Segment"
12591,318,1,452.85,2,2,"At Risk Customers"
12592,93,2,437.6,1,1,"Loyal Customers"
12593,109,3,418.1,1,1,"Loyal Customers"
12594,38,10,3338.22,1,1,"Loyal Customers"
12596,52,2,618.27,1,1,"Loyal Customers"
12597,20,4,3811.22,1,1,"Loyal Customers"
12598,10,8,3023.08,1,1,"Loyal Customers"
12599,30,7,1032.58,1,1,"Loyal Customers"
12600,29,10,2599.04,1,1,"Loyal Customers"
12601,190,5,577.06,2,2,"At Risk Customers"
12602,59,1,153.12,1,1,"Loyal Customers"
12603,22,1,739.2,1,1,"Loyal Customers"
12604,80,2,254.18,1,1,"Loyal Customers"
12607,61,1,1579.51,1,1,"Loyal Customers"
12609,79,3,1126.85,1,1,"Loyal Customers"
12610,23,5,2099.54,1,1,"Loyal Customers"
12611,53,1,1193.32,1,1,"Loyal Customers"
12612,75,1,704.04,1,1,"Loyal Customers"
12613,58,5,3344.38,1,1,"Loyal Customers"
12614,278,1,315.6,2,2,"At Risk Customers"
12615,3,4,2291.19,1,1,"Loyal Customers"
12616,96,2,713.3,1,1,"Loyal Customers"
12617,30,1,355.53,1,1,"Loyal Customers"
12618,22,1,177.31,1,1,"Loyal Customers"
12619,17,9,3641.24,1,1,"Loyal Customers"
12620,15,3,1339.41,1,1,"Loyal Customers"
12621,2,20,13689.67,3,3,"Best Customers"
12622,233,1,180.1,2,2,"At Risk Customers"
12623,277,1,305.1,2,2,"At Risk Customers"
12624,107,2,641.13,1,1,"Loyal Customers"
12625,212,2,2683.82,2,2,"At Risk Customers"
12626,24,9,6620.48,1,1,"Loyal Customers"
12627,11,7,4478.53,1,1,"Loyal Customers"
12628,5,3,786.46,1,1,"Loyal Customers"
12630,10,2,1270.88,1,1,"Loyal Customers"
12631,58,1,640.5,1,1,"Loyal Customers"
12633,59,4,2163.98,1,1,"Loyal Customers"
12635,90,2,1689.18,1,1,"Loyal Customers"
12637,68,8,6021.9,1,1,"Loyal Customers"
12638,34,1,671.69,1,1,"Loyal Customers"
12639,239,1,486.1,2,2,"At Risk Customers"
12640,24,3,1174.58,1,1,"Loyal Customers"
12641,116,1,185.9,1,1,"Loyal Customers"
12642,26,3,1013.26,1,1,"Loyal Customers"
12643,129,6,3344.64,1,1,"Loyal Customers"
12644,130,1,477.91,1,1,"Loyal Customers"
12645,34,4,1775.18,1,1,"Loyal Customers"
12646,5,2,1346.97,1,1,"Loyal Customers"
12647,23,12,3722.82,1,1,"Loyal Customers"
12648,155,1,318.05,2,2,"At Risk Customers"
12649,108,3,623.51,1,1,"Loyal Customers"
12650,4,1,314.44,1,1,"Loyal Customers"
12651,335,1,114,2,2,"At Risk Customers"
12652,332,1,919.98,2,2,"At Risk Customers"
12653,149,2,2209.85,2,2,"At Risk Customers"
12654,11,5,601.98,1,1,"Loyal Customers"
12656,18,5,4051.17,1,1,"Loyal Customers"
12657,12,4,1643.18,1,1,"Loyal Customers"
12658,19,1,686.05,1,1,"Loyal Customers"
12659,30,1,91.68,1,1,"Loyal Customers"
12660,12,1,245.1,1,1,"Loyal Customers"
12662,1,11,3849.78,1,1,"Loyal Customers"
12664,9,9,4881.88,1,1,"Loyal Customers"
12665,325,1,63,2,2,"At Risk Customers"
12667,59,1,620.13,1,1,"Loyal Customers"
12668,12,4,3807.15,1,1,"Loyal Customers"
12669,151,3,2744.03,2,2,"At Risk Customers"
12670,11,5,2996.05,1,1,"Loyal Customers"
12672,330,1,225.9,2,2,"At Risk Customers"
12673,6,2,610.52,1,1,"Loyal Customers"
12674,39,4,1970.6,1,1,"Loyal Customers"
12676,25,6,1331.39,1,1,"Loyal Customers"
12678,43,12,17628.46,3,1,"Best Customers"
12679,59,4,1113.02,1,1,"Loyal Customers"
12680,1,4,862.81,1,1,"Loyal Customers"
12681,15,22,13787.54,3,3,"Best Customers"
12682,4,31,12288.22,3,3,"Best Customers"
12683,5,15,8476.57,3,3,"Best Customers"
12684,8,7,2283.63,1,1,"Loyal Customers"
12685,29,6,2863.08,1,1,"Loyal Customers"
12686,372,1,89.14,2,2,"At Risk Customers"
12688,114,1,4873.81,1,1,"Loyal Customers"
12689,26,2,1247.61,1,1,"Loyal Customers"
12690,206,1,389.01,2,2,"At Risk Customers"
12691,29,6,1035.8,1,1,"Loyal Customers"
12693,128,4,855.91,1,1,"Loyal Customers"
12694,71,2,869.67,1,1,"Loyal Customers"
12695,8,4,582.1,1,1,"Loyal Customers"
12697,29,3,957.59,1,1,"Loyal Customers"
12700,8,4,4939.99000000001,1,1,"Loyal Customers"
12701,80,2,797.71,1,1,"Loyal Customers"
12702,20,1,219,1,1,"Loyal Customers"
12703,72,1,283.55,1,1,"Loyal Customers"
12704,8,8,2340.84,1,1,"Loyal Customers"
12705,16,9,6868.29,1,1,"Loyal Customers"
12707,292,1,603.42,2,2,"At Risk Customers"
12708,30,10,2712.91,1,1,"Loyal Customers"
12709,16,15,9736.51999999999,3,3,"Best Customers"
12710,97,3,1149.02,1,1,"Loyal Customers"
12712,29,13,4396.13,1,1,"Loyal Customers"
12713,1,1,848.55,1,1,"Loyal Customers"
12714,10,5,4708.85999999999,1,1,"Loyal Customers"
12715,107,1,353.86,1,1,"Loyal Customers"
12716,4,2,1053.49,1,1,"Loyal Customers"
12717,152,2,1030.98,2,2,"At Risk Customers"
12718,72,1,238.25,1,1,"Loyal Customers"
12719,6,2,644.95,1,1,"Loyal Customers"
12720,3,25,5781.73,3,3,"Best Customers"
12721,32,6,2656.13,1,1,"Loyal Customers"
12722,86,4,997.63,1,1,"Loyal Customers"
12723,4,5,725.07,1,1,"Loyal Customers"
12724,6,4,1031.41,1,1,"Loyal Customers"
12725,372,1,427.8,2,2,"At Risk Customers"
12726,29,7,2609.1,1,1,"Loyal Customers"
12727,11,7,3980.7,1,1,"Loyal Customers"
12728,72,4,836.33,1,1,"Loyal Customers"
12729,114,1,453.01,1,1,"Loyal Customers"
12731,24,12,18895.91,3,1,"Best Customers"
12732,180,1,236.26,2,2,"At Risk Customers"
12733,235,1,383.95,2,2,"At Risk Customers"
12734,353,1,110.4,2,2,"At Risk Customers"
12735,316,2,779.57,2,2,"At Risk Customers"
12736,333,1,234,2,2,"At Risk Customers"
12738,373,1,155.35,2,2,"At Risk Customers"
12739,79,2,1013.04,1,1,"Loyal Customers"
12740,64,1,427.6,1,1,"Loyal Customers"
12743,135,2,546.43,1,1,"Loyal Customers"
12744,52,7,21279.29,3,1,"Best Customers"
12747,3,11,4196.01,1,1,"Loyal Customers"
12748,1,209,33719.7300000003,4,3,"Super VIP Customers"
12749,4,5,4090.88,1,1,"Loyal Customers"
12750,129,1,275.88,1,1,"Loyal Customers"
12752,82,1,4366.78,1,1,"Loyal Customers"
12753,23,6,21429.39,1,1,"Loyal Customers"
12754,236,3,3010.74,2,2,"At Risk Customers"
12755,281,2,3811.95,2,2,"At Risk Customers"
12756,87,1,112.08,1,1,"Loyal Customers"
12757,16,13,7857.1,3,1,"Best Customers"
12758,117,2,2791.59,1,1,"Loyal Customers"
12759,53,3,1531.44,1,1,"Loyal Customers"
12762,8,2,1898.52,1,1,"Loyal Customers"
12763,139,2,494.08,1,1,"Loyal Customers"
12764,317,1,1693.88,2,2,"At Risk Customers"
12766,4,7,6989.63,1,1,"Loyal Customers"
12769,239,1,1143.6,2,2,"At Risk Customers"
12770,211,1,1351.45,2,2,"At Risk Customers"
12772,60,1,892.47,1,1,"Loyal Customers"
12775,18,5,1386.04,1,1,"Loyal Customers"
12778,20,6,822.23,1,1,"Loyal Customers"
12779,38,8,3981.36,1,1,"Loyal Customers"
12781,64,2,826.74,1,1,"Loyal Customers"
12782,5,5,2330.92,1,1,"Loyal Customers"
12783,3,6,2225.91,1,1,"Loyal Customers"
12784,10,2,574.42,1,1,"Loyal Customers"
12785,365,1,311.95,2,2,"At Risk Customers"
12787,10,3,463.66,1,1,"Loyal Customers"
12789,66,1,91.85,1,1,"Loyal Customers"
12790,193,1,324.92,2,2,"At Risk Customers"
12791,374,1,192.6,2,2,"At Risk Customers"
12792,257,1,400.54,2,2,"At Risk Customers"
12793,335,2,545.48,2,2,"At Risk Customers"
12794,54,2,860.41,1,1,"Loyal Customers"
12795,19,1,430.48,1,1,"Loyal Customers"
12797,366,1,254.03,2,2,"At Risk Customers"
12798,11,3,6977.04,1,1,"Loyal Customers"
12802,187,1,427.58,2,2,"At Risk Customers"
12808,37,3,483.65,1,1,"Loyal Customers"
12809,178,1,489.31,2,2,"At Risk Customers"
12811,261,3,514.85,2,2,"At Risk Customers"
12812,45,1,229.64,1,1,"Loyal Customers"
12814,102,1,125.92,1,1,"Loyal Customers"
12815,148,2,1063.46,2,2,"At Risk Customers"
12816,96,2,572.2,1,1,"Loyal Customers"
12817,282,1,166.04,2,2,"At Risk Customers"
12818,262,1,1542.08,2,2,"At Risk Customers"
12820,4,4,942.34,1,1,"Loyal Customers"
12821,215,1,92.72,2,2,"At Risk Customers"
12822,71,2,948.88,1,1,"Loyal Customers"
12823,75,5,1759.5,1,1,"Loyal Customers"
12824,60,1,397.12,1,1,"Loyal Customers"
12826,3,7,1474.72,1,1,"Loyal Customers"
12827,6,3,430.15,1,1,"Loyal Customers"
12828,3,6,1018.71,1,1,"Loyal Customers"
12829,337,2,293,2,2,"At Risk Customers"
12830,38,6,6814.64,1,1,"Loyal Customers"
12831,263,1,215.05,2,2,"At Risk Customers"
12832,33,2,383.03,1,1,"Loyal Customers"
12833,146,1,417.38,2,2,"At Risk Customers"
12834,283,1,312.38,2,2,"At Risk Customers"
12836,60,4,2612.86,1,1,"Loyal Customers"
12837,174,1,134.1,2,2,"At Risk Customers"
12838,34,2,683.129999999999,1,1,"Loyal Customers"
12839,3,14,5591.42,3,1,"Best Customers"
12840,144,4,2726.77,1,1,"Loyal Customers"
12841,5,25,4022.35,3,3,"Best Customers"
12842,71,2,1118.99,1,1,"Loyal Customers"
12843,66,8,1702.26,1,1,"Loyal Customers"
12844,30,2,325.96,1,1,"Loyal Customers"
12845,268,4,354.09,2,2,"At Risk Customers"
12847,23,1,871.54,1,1,"Loyal Customers"
12849,32,2,1050.89,1,1,"Loyal Customers"
12851,97,1,135.18,1,1,"Loyal Customers"
12852,295,1,311.55,2,2,"At Risk Customers"
12853,135,6,1957.1,1,1,"Loyal Customers"
12854,79,3,1324.5,1,1,"Loyal Customers"
12855,373,1,38.1,2,2,"At Risk Customers"
12856,8,6,2179.93,1,1,"Loyal Customers"
12857,211,2,1106.4,2,2,"At Risk Customers"
12863,53,1,521.2,1,1,"Loyal Customers"
12864,139,1,147.12,1,1,"Loyal Customers"
12865,27,2,1568.23,1,1,"Loyal Customers"
12866,284,1,559.12,2,2,"At Risk Customers"
12867,27,7,4036.82,1,1,"Loyal Customers"
12868,186,6,1607.06,2,2,"At Risk Customers"
12871,85,2,380.64,1,1,"Loyal Customers"
12872,327,2,599.97,2,2,"At Risk Customers"
12873,283,1,374,2,2,"At Risk Customers"
12875,144,2,343.23,1,1,"Loyal Customers"
12876,58,2,2218.02,1,1,"Loyal Customers"
12877,4,12,1535.77,1,1,"Loyal Customers"
12878,237,2,854.99,2,2,"At Risk Customers"
12879,45,3,573.22,1,1,"Loyal Customers"
12881,276,1,298,2,2,"At Risk Customers"
12882,10,2,1463.04,1,1,"Loyal Customers"
12883,25,4,703.47,1,1,"Loyal Customers"
12884,89,1,309.05,1,1,"Loyal Customers"
12885,64,3,1175.22,1,1,"Loyal Customers"
12886,68,2,1378.4,1,1,"Loyal Customers"
12888,215,2,354.12,2,2,"At Risk Customers"
12890,25,1,380.47,1,1,"Loyal Customers"
12891,186,3,331,2,2,"At Risk Customers"
12893,31,1,188.14,1,1,"Loyal Customers"
12895,43,2,372.8,1,1,"Loyal Customers"
12897,205,2,216.5,2,2,"At Risk Customers"
12901,9,28,17654.54,3,3,"Best Customers"
12902,265,1,138.68,2,2,"At Risk Customers"
12904,19,2,509.58,1,1,"Loyal Customers"
12906,12,5,2919.81,1,1,"Loyal Customers"
12908,177,2,750,2,2,"At Risk Customers"
12909,40,5,2178.67,1,1,"Loyal Customers"
12910,24,8,3075.04,1,1,"Loyal Customers"
12912,3,5,1662.3,1,1,"Loyal Customers"
12913,5,5,2483.63,1,1,"Loyal Customers"
12915,149,2,363.65,2,2,"At Risk Customers"
12916,139,4,3006.15,1,1,"Loyal Customers"
12917,129,1,594,1,1,"Loyal Customers"
12919,9,6,1335.19,1,1,"Loyal Customers"
12920,18,1,164.23,1,1,"Loyal Customers"
12921,10,37,16587.09,3,3,"Best Customers"
12922,162,1,405.38,2,2,"At Risk Customers"
12923,65,1,176.97,1,1,"Loyal Customers"
12924,89,4,933.7,1,1,"Loyal Customers"
12925,5,2,694.05,1,1,"Loyal Customers"
12928,36,5,2062.7,1,1,"Loyal Customers"
12929,312,1,117.85,2,2,"At Risk Customers"
12930,79,2,415.8,1,1,"Loyal Customers"
12931,22,15,42055.96,3,3,"Best Customers"
12933,25,3,607.53,1,1,"Loyal Customers"
12935,3,7,2160.7,1,1,"Loyal Customers"
12936,18,4,1063.9,1,1,"Loyal Customers"
12937,16,4,1504.27,1,1,"Loyal Customers"
12938,26,1,114.14,1,1,"Loyal Customers"
12939,65,8,11581.8,1,1,"Loyal Customers"
12940,55,2,913.54,1,1,"Loyal Customers"
12942,132,3,683.9,1,1,"Loyal Customers"
12944,36,2,604.51,1,1,"Loyal Customers"
12945,289,1,462.95,2,2,"At Risk Customers"
12947,144,6,1603.99,1,1,"Loyal Customers"
12948,17,7,2064.95,1,1,"Loyal Customers"
12949,31,8,4167.22,1,1,"Loyal Customers"
12950,3,3,1843,1,1,"Loyal Customers"
12951,9,6,1064.07,1,1,"Loyal Customers"
12952,6,4,1387.79,1,1,"Loyal Customers"
12953,10,1,329.85,1,1,"Loyal Customers"
12955,2,11,4757.16,1,1,"Loyal Customers"
12956,307,1,108.07,2,2,"At Risk Customers"
12957,10,8,4017.54,1,1,"Loyal Customers"
12962,8,2,266.39,1,1,"Loyal Customers"
12963,9,8,1856.63,1,1,"Loyal Customers"
12965,90,1,771.91,1,1,"Loyal Customers"
12966,10,1,160.18,1,1,"Loyal Customers"
12967,359,2,1660.9,2,2,"At Risk Customers"
12968,113,1,135.95,1,1,"Loyal Customers"
12970,8,4,452.24,1,1,"Loyal Customers"
12971,4,86,11189.91,3,3,"Best Customers"
12974,198,1,144.8,2,2,"At Risk Customers"
12976,212,1,738.6,2,2,"At Risk Customers"
12977,157,1,39.24,2,2,"At Risk Customers"
12980,158,9,7374.9,1,2,"Loyal Customers"
12981,30,2,372.22,1,1,"Loyal Customers"
12982,243,1,390.54,2,2,"At Risk Customers"
12984,19,1,97.5,1,1,"Loyal Customers"
12985,1,2,1239.38,1,1,"Loyal Customers"
12987,74,2,558.7,1,1,"Loyal Customers"
12988,293,1,535.32,2,2,"At Risk Customers"
12989,4,15,6924.11,3,3,"Best Customers"
12990,32,3,409.5,1,1,"Loyal Customers"
12991,24,2,503.76,1,1,"Loyal Customers"
12993,24,4,414.76,1,1,"Loyal Customers"
12994,5,3,974.42,1,1,"Loyal Customers"
12995,86,1,211.32,1,1,"Loyal Customers"
12997,23,4,1226.89,1,1,"Loyal Customers"
12999,197,3,455.88,2,2,"At Risk Customers"
13000,107,3,534.85,1,1,"Loyal Customers"
13001,5,13,9818.82000000001,3,1,"Best Customers"
13002,319,1,120.95,2,2,"At Risk Customers"
13003,106,3,149.05,1,1,"Loyal Customers"
13004,12,18,5655.91,3,3,"Best Customers"
13005,174,2,513.7,2,2,"At Risk Customers"
13006,57,1,81.57,1,1,"Loyal Customers"
13008,324,1,229.47,2,2,"At Risk Customers"
13011,373,1,50.55,2,2,"At Risk Customers"
13012,10,8,1661.84,1,1,"Loyal Customers"
13013,2,13,4810.94,1,1,"Loyal Customers"
13014,11,10,3466.28,1,1,"Loyal Customers"
13015,54,5,3346.28,1,1,"Loyal Customers"
13016,74,3,789.89,1,1,"Loyal Customers"
13017,8,1,204,1,1,"Loyal Customers"
13018,17,28,7277.7,3,3,"Best Customers"
13021,5,9,2616.38,1,1,"Loyal Customers"
13023,65,2,689.9,1,1,"Loyal Customers"
13026,2,5,975.36,1,1,"Loyal Customers"
13027,114,6,6912,1,1,"Loyal Customers"
13028,23,2,661.32,1,1,"Loyal Customers"
13029,31,3,1247.5,1,1,"Loyal Customers"
13030,12,2,799.48,1,1,"Loyal Customers"
13032,53,2,1010.18,1,1,"Loyal Customers"
13033,358,1,190.55,2,2,"At Risk Customers"
13034,55,2,642.77,1,1,"Loyal Customers"
13035,74,2,921.88,1,1,"Loyal Customers"
13037,139,3,881.07,1,1,"Loyal Customers"
13038,81,3,908.46,1,1,"Loyal Customers"
13040,9,2,676.99,1,1,"Loyal Customers"
13043,274,1,516.42,2,2,"At Risk Customers"
13044,292,1,560.47,2,2,"At Risk Customers"
13045,100,1,305.28,1,1,"Loyal Customers"
13046,31,2,629.31,1,1,"Loyal Customers"
13047,32,10,3237.54,1,1,"Loyal Customers"
13048,15,4,1835.91,1,1,"Loyal Customers"
13049,65,2,656.68,1,1,"Loyal Customers"
13050,15,17,5836.86,3,3,"Best Customers"
13052,213,1,348.15,2,2,"At Risk Customers"
13055,79,3,1214.41,1,1,"Loyal Customers"
13058,25,3,271.4,1,1,"Loyal Customers"
13059,250,1,183.4,2,2,"At Risk Customers"
13060,254,1,307.53,2,2,"At Risk Customers"
13061,73,1,248.61,1,1,"Loyal Customers"
13062,192,1,346.98,2,2,"At Risk Customers"
13064,13,4,1119.49,1,1,"Loyal Customers"
13065,374,1,205.86,2,2,"At Risk Customers"
13066,25,2,470.8,1,1,"Loyal Customers"
